DOLLAREL,DOLLARNG,DOLLARFO,DOLLARLP,SCALEB,SCALEG,SCALEE,PAYHELP,ENERGYASST,COLDMA,HOTMA
2426.09,0.0,0.0,0.0,2,0,0,-2,0,0,0
861.63,1027.95,0.0,0.0,0,0,0,-2,0,0,0
1616.88,366.42,0.0,0.0,0,0,0,-2,0,0,0
2010.78,0.0,0.0,511.68,0,0,0,-2,0,0,0
806.97,0.0,0.0,0.0,3,1,0,-2,0,0,0
552.75,828.92,0.0,0.0,0,0,0,-2,0,0,0
508.93,0.0,0.0,0.0,0,0,0,-2,0,0,0
1580.13,914.41,0.0,0.0,0,0,0,-2,0,0,0
810.98,331.82,0.0,0.0,1,0,2,0,0,0,0
973.67,502.37,0.0,0.0,0,0,0,-2,0,0,0
1950.65,2002.93,0.0,0.0,0,0,0,-2,0,0,0
857.1,0.0,0.0,0.0,0,0,0,-2,0,0,0
1803.77,2043.08,0.0,0.0,0,0,0,-2,0,0,0
1397.03,0.0,0.0,322.41,0,0,0,-2,0,0,0
1129.39,446.1,0.0,0.0,0,0,0,-2,0,0,0
2163.52,0.0,0.0,0.0,0,0,0,-2,0,0,0
1475.62,614.14,0.0,0.0,0,0,0,-2,0,0,0
1321.21,0.0,0.0,0.0,0,0,0,-2,0,0,0
808.82,0.0,1888.4,0.0,0,0,0,-2,0,0,0
3356.5,935.96,0.0,0.0,0,0,0,-2,0,0,0
1997.85,341.01,0.0,0.0,0,0,0,-2,0,0,0
324.47,747.02,0.0,0.0,0,0,0,-2,1,0,0
659.32,441.3,0.0,0.0,0,0,0,-2,0,0,0
1185.78,684.31,0.0,0.0,3,0,0,-2,0,0,0
1943.56,412.86,0.0,0.0,0,0,0,-2,0,0,0
1258.86,774.52,0.0,0.0,0,0,0,-2,0,0,0
520.23,290.07,0.0,0.0,0,0,0,-2,1,0,0
687.28,630.66,0.0,0.0,0,0,0,-2,0,0,0
897.77,0.0,0.0,2789.95,2,2,0,-2,0,0,0
778.97,351.73,0.0,0.0,0,0,0,-2,0,0,0
3599.58,0.0,0.0,0.0,0,0,0,-2,0,0,0
1351.19,0.0,0.0,20.7,0,0,0,-2,0,0,0
1690.96,486.21,0.0,0.0,0,0,0,-2,0,0,0
889.39,977.54,0.0,0.0,0,0,0,-2,0,0,0
722.85,0.0,0.0,0.0,0,0,0,-2,0,0,0
1135.22,0.0,0.0,0.0,0,0,0,-2,0,0,0
686.88,0.0,0.0,473.93,0,0,0,-2,0,0,0
637.59,0.0,1005.02,0.0,0,0,0,-2,0,0,0
1549.78,0.0,0.0,0.0,0,0,0,-2,0,0,0
1267.07,0.0,0.0,0.0,1,0,1,1,1,0,0
516.89,0.0,0.0,0.0,0,0,0,-2,0,0,0
1499.84,431.56,0.0,0.0,0,0,3,0,0,0,0
969.81,477.1,0.0,0.0,0,0,0,-2,0,0,0
1567.71,0.0,0.0,615.2,0,0,0,-2,0,0,0
2045.2,0.0,0.0,0.0,0,0,0,-2,0,0,0
3169.68,3022.44,0.0,0.0,0,0,0,-2,0,0,0
1927.8,391.1,0.0,0.0,0,0,0,-2,0,0,0
783.31,639.59,0.0,0.0,2,2,1,1,1,0,0
1309.4,304.38,0.0,0.0,0,0,0,-2,0,0,0
1161.13,605.64,0.0,0.0,0,0,0,-2,0,0,0
1539.49,647.98,0.0,0.0,0,0,0,-2,0,0,0
1502.71,0.0,0.0,0.0,0,0,0,-2,0,0,0
1763.68,0.0,0.0,0.0,0,0,0,-2,0,0,0
401.95,417.8,0.0,0.0,0,0,0,-2,0,0,0
2541.18,637.34,0.0,0.0,0,0,0,-2,0,0,0
1221.27,0.0,0.0,0.0,2,0,0,-2,0,0,0
2897.04,0.0,1841.2,0.0,0,0,0,-2,0,0,0
1020.42,0.0,1546.49,0.0,0,0,0,-2,0,0,0
1482.03,913.51,0.0,0.0,0,0,0,-2,0,0,0
970.03,0.0,0.0,1100.98,0,0,0,-2,0,0,0
2047.8,0.0,0.0,0.0,0,0,0,-2,0,0,0
2465.17,0.0,0.0,0.0,0,0,0,-2,0,0,0
1069.83,0.0,0.0,704.27,0,0,0,-2,0,0,0
1118.3,884.99,0.0,0.0,0,0,0,-2,0,0,0
3483.74,1087.12,0.0,0.0,0,0,0,-2,0,0,0
1793.68,0.0,1094.2,0.0,2,0,2,0,0,0,0
1235.01,1122.19,0.0,0.0,0,0,0,-2,0,0,0
779.96,205.23,0.0,0.0,0,0,0,-2,0,0,0
618.29,565.79,0.0,0.0,0,0,0,-2,0,0,0
1860.52,0.0,0.0,0.0,0,0,0,-2,0,0,0
800.55,0.0,0.0,0.0,3,1,2,0,0,0,0
1324.55,2013.92,0.0,0.0,0,0,0,-2,0,0,0
1608.9,0.0,0.0,0.0,0,0,0,-2,0,0,0
2149.51,0.0,1232.73,266.21,0,0,0,-2,0,0,0
1294.29,0.0,0.0,1305.24,0,0,0,-2,0,0,0
1642.61,798.19,0.0,0.0,0,0,0,-2,0,0,0
2499.18,678.86,0.0,0.0,0,0,0,-2,0,0,0
1096.98,124.92,0.0,0.0,2,2,2,0,0,0,0
3412.65,1033.3,0.0,13.27,0,0,0,-2,0,0,0
859.47,0.0,0.0,0.0,0,0,0,-2,0,0,0
1364.13,454.43,0.0,0.0,0,0,0,-2,0,0,0
388.22,462.6,0.0,0.0,0,0,0,-2,0,0,0
2463.34,1641.25,0.0,0.0,0,0,0,-2,0,0,0
2301.46,826.61,0.0,0.0,0,0,0,-2,0,0,0
2338.99,854.07,0.0,0.0,0,0,0,-2,0,0,0
3679.32,714.31,0.0,0.0,0,0,0,-2,0,0,0
1692.87,526.06,0.0,0.0,0,0,0,-2,0,0,0
2360.08,0.0,0.0,0.0,0,0,0,-2,0,0,0
956.49,156.87,0.0,0.0,2,0,0,-2,0,0,0
1753.7,845.15,0.0,0.0,0,0,0,-2,0,0,0
979.17,517.87,0.0,0.0,2,3,0,-2,0,0,0
699.57,540.3,0.0,0.0,0,0,0,-2,0,0,0
2332.27,0.0,0.0,0.0,0,0,0,-2,0,0,0
739.52,617.42,0.0,0.0,0,0,0,-2,0,0,0
1652.12,474.85,0.0,0.0,0,0,0,-2,0,0,0
997.47,0.0,1373.15,0.0,0,0,0,-2,0,0,0
1011.79,1083.27,0.0,0.0,0,0,0,-2,0,0,0
1169.86,0.0,731.03,0.0,0,0,0,-2,0,0,0
